sample_name	unclassified_proportion	classified_proportion	unclassified_reads	classified_reads
ERR6910909	50.4259	49.5741	11946601	11744797
ERR6910910	36.2801	63.7199	8289305	14558767
ERR6910918	30.5291	69.4709	6605138	15030416
ERR6910923	50.3542	49.6458	13151786	12966758
ERR6910925	31.0547	68.9453	7147807	15869008
ERR6910926	30.2481	69.7519	6867044	15835364
ERR6910933	45.5114	54.4886	10531463	12608801
ERR6910937	48.7992	51.2008	10218748	10721672
ERR6910938	47.9782	52.0218	11467110	12433540
ERR6910945	49.455	50.545	11210086	11457157
ERR6910952	39.1566	60.8434	8773735	13633060
ERR6910955	55.5164	44.4836	11665877	9347518
ERR6910960	31.4295	68.5705	6934881	15129996
ERR6910967	28.9937	71.0063	6477044	15862452
ERR6910971	46.0445	53.9555	11649964	13651576
ERR6910974	26.0854	73.9146	5838078	16542582
ERR6910975	41.6205	58.3795	8370182	11740514
ERR6910978	36.5422	63.4578	10365851	18000921
ERR6910980	32.0183	67.9817	7236365	15364317
ERR6910981	56.9893	43.0107	11336770	8556025
ERR6910984	52.8843	47.1157	11581979	10318615
ERR6910985	34.8648	65.1352	8430354	15749795
ERR6910988	43.8168	56.1832	10002425	12825403
ERR6910991	59.321	40.679	17908690	12280781
ERR6910994	35.5531	64.4469	9066071	16434042
ERR6910996	29.6841	70.3159	6793058	16091465
ERR6910997	43.5101	56.4899	9049749	11749456
ERR6911009	37.3854	62.6146	8405004	14077025
ERR6911010	49.4709	50.5291	13196193	13478481
ERR6911011	20.6036	79.3964	4321199	16651852
ERR6911012	59.3449	40.6551	14234230	9751358
ERR6911013	42.4458	57.5542	9188053	12458519
ERR6910912	32.7771	67.2229	7419100	15215917
ERR6910920	29.7773	70.2227	7302421	17221068
ERR6910921	41.9323	58.0677	10780487	14928792
ERR6910929	31.4227	68.5773	7308450	15950041
ERR6910934	32.3883	67.6117	7776135	16232952
ERR6910940	51.3026	48.6974	11587210	10998815
ERR6910911	38.1483	61.8517	9016739	14619304
ERR6910913	55.2166	44.7834	12674439	10279604
ERR6910919	45.1105	54.8895	11025169	13415203
ERR6910922	52.7928	47.2072	13223151	11824091
ERR6910924	26.6248	73.3752	6229294	17167319
ERR6910927	46.8376	53.1624	11015364	12502845
ERR6910928	42.8194	57.1806	8815719	11772409
ERR6910930	37.9185	62.0815	8247998	13503936
ERR6910931	53.8787	46.1213	11246092	9626907
ERR6910932	39.1874	60.8126	9722641	15087966
ERR6910936	56.6332	43.3668	13890189	10636385
ERR6910939	33.6619	66.3381	7652846	15081629
ERR6910948	52.3395	47.6605	12315253	11214305
ERR6910956	51.7089	48.2911	10551076	9853701
ERR6910957	34.929	65.071	7932710	14778271
ERR6910958	29.3808	70.6192	7029744	16896568
ERR6910959	30.876	69.124	6382227	14288287
ERR6910961	46.8648	53.1352	9688370	10984633
ERR6910965	27.32	72.68	6882187	18308822
ERR6910966	48.5287	51.4713	10497088	11133614
ERR6910969	29.6902	70.3098	8245662	19526715
ERR6910970	39.6273	60.3727	8033863	12239670
ERR6910972	44.5827	55.4173	10397817	12924740
ERR6910973	38.5043	61.4957	9633322	15385473
ERR6910976	25.2003	74.7997	5925589	17588376
ERR6910977	32.1752	67.8248	6963544	14679020
ERR6910982	32.6506	67.3494	7447028	15361185
ERR6910987	55.1968	44.8032	15454206	12544143
ERR6910989	42.4283	57.5717	8889557	12062415
ERR6910998	41.9385	58.0615	12848232	17787639
ERR6911000	53.9768	46.0232	12328266	10511683
ERR6911001	34.4241	65.5759	7926777	15100017
ERR6911004	53.6576	46.3424	12183127	10522207
ERR6911008	54.4542	45.5458	12055764	10083511
ERR6911014	33.5075	66.4925	7919825	15716162
ERR6910941	49.5284	50.4716	11119822	11331570
ERR6910942	46.4886	53.5114	10634674	12241213
ERR6910943	28.5426	71.4574	5994711	15007968
ERR6910950	38.4454	61.5546	7600704	12169427
ERR6910953	41.353	58.647	9145184	12969719
ERR6910962	48.287	51.713	12144757	13006449
ERR6910963	31.1344	68.8656	8125491	17972641
ERR6910964	34.9512	65.0488	8183381	15230354
ERR6910968	42.4436	57.5564	12843287	17416377
ERR6910979	39.3535	60.6465	9326073	14372130
ERR6910983	39.3814	60.6186	8821960	13579365
ERR6910986	56.7369	43.2631	14871595	11339926
ERR6910990	18.9601	81.0399	4834716	20664663
ERR6910992	46.9782	53.0218	11077259	12502329
ERR6910993	53.1565	46.8435	10733008	9458325
ERR6910995	37.3646	62.6354	8558048	14346118
ERR6910999	45.9784	54.0216	10478058	12311015
ERR6911002	49.1286	50.8714	10282258	10647029
ERR6911003	21.7697	78.2303	3370449	12111824
ERR6911005	34.925	65.075	7314456	13628864
ERR6911015	39.3883	60.6117	9233133	14208184
ERR6911016	47.6479	52.3521	10928317	12007270
